Day,Month,Year,Cases,Deaths,Population,Rate,Country,Code,Continent
6,1,2020,0,0,4076246,0.0,Croatia,HRV,Europe
6,1,2020,0,0,10649800,0.0,Czechia,CZE,Europe
6,1,2020,0,0,5806081,0.0,Denmark,DNK,Europe
6,1,2020,0,0,10738957,0.0,Dominican_Republic,DOM,America
6,1,2020,0,0,17373657,0.0,Ecuador,ECU,America
6,1,2020,0,0,100388076,0.0,Egypt,EGY,Africa
6,1,2020,0,0,1324820,0.0,Estonia,EST,Europe
6,1,2020,0,0,5517919,0.0,Finland,FIN,Europe
6,1,2020,0,0,67012883,0.0,France,FRA,Europe
6,1,2020,0,0,3996762,0.0,Georgia,GEO,Europe
6,1,2020,0,0,83019213,0.0,Germany,DEU,Europe
6,1,2020,0,0,10724599,0.0,Greece,GRC,Europe
